Name,Date,Period,School,Sport
"Duncan, Clyde ",2018-2019,Aug 2003 -  ,Texas Southern University ,"Men's Track, Outdoor "
"Duncan, Clyde ",2018-2019,Aug 2003 -  ,Texas Southern University ,"Men's Track, Indoor "
"Duncan, Clyde ",2018-2019,Sep 2010 -  ,Texas Southern University ,Men's Cross Country 
"Duncan, Jeffrey ",2018-2019,Jul 2013 -  ,Kent State University ,Baseball 
"Duncan, Lori ",2018-2019,Apr 1998 - Feb 2019 ,Eastern Kentucky University ,Women's Volleyball 
"Duncan, Lori ",2018-2019,Sep 2018 - Feb 2019 ,Eastern Kentucky University ,Women's Beach Volleyball 
"Duncan, Ross ",2018-2019,Apr 2012 -  ,University of Central Arkansas ,Men's Soccer 
"Dunlap, Michael ",2018-2019,Apr 2014 - Apr 2020 ,Loyola Marymount University ,Men's Basketball 
"Dunleavy Sr., Mike ",2018-2019,May 2016 - Apr 2019 ,Tulane University ,Men's Basketball 
"Dunleavy, Baker ",2018-2019,Apr 2017 -  ,Quinnipiac University ,Men's Basketball 
"Dunleavy, Brian ",2018-2019,Jul 2013 - Sep 2019 ,Georgia Southern University ,Women's Soccer 
"Dunn, Brian ",2018-2019,Aug 2019 -  ,University of Tennessee at Martin ,Softball 
"Dunn, Casey ",2018-2019,Aug 2004 -  ,Samford University ,Baseball 
"Dunn, Jason ",2018-2019,Aug 2018 - Nov 2020 ,University of Virginia ,Men's Cross Country 
"Dunne, John ",2018-2019,May 2018 -  ,Marist College ,Men's Basketball 
"Dunphy, Fran ",2018-2019,May 2006 - May 2019 ,Temple University ,Men's Basketball 
"Dupuy, Jordan ",2018-2019,Aug 2016 - Feb 2020 ,Northwestern State University ,Women's Basketball 
"Duquette, Pat ",2018-2019,Aug 2014 -  ,University of Massachusetts Lowell ,Men's Basketball 
"Durant, Adrian ",2018-2019,Aug 2015 -  ,Cornell University ,"Men's Track, Indoor "
"Durant, Adrian ",2018-2019,Aug 2015 -  ,Cornell University ,"Men's Track, Outdoor "
"Durant, Adrian ",2018-2019,Aug 2015 - Aug 2020 ,Cornell University ,Men's Cross Country 
"Durden, Dave ",2018-2019,Sep 2007 -  ,"University of California, Berkeley ",Men's Swimming and Diving 
"Durkin, DJ ",2018-2019,Jan 2016 - Sep 2018 ,"University of Maryland, College Park ",Football 
"Durocher, Brian ",2018-2019,Aug 2004 -  ,Boston University ,Women's Ice Hockey 
"Dutcher, Brian ",2018-2019,May 2017 -  ,San Diego State University ,Men's Basketball 
"Duvall, Brandon ",2018-2019,Jun 2017 - Aug 2020 ,Hampton University ,Women's Volleyball 
"Duvenhage, Ian ",2018-2019,Aug 2005 -  ,Vanderbilt University ,Men's Tennis 
"Dwyer, John ",2018-2019,Jul 2015 -  ,Dartmouth College ,Women's Skiing 
"Dyche, Heather ",2018-2019,Feb 2015 -  ,University of New Mexico ,Women's Soccer 
"Dyer, Todd ",2018-2019,Sep 1996 -  ,Longwood University ,Women's Soccer 
"Dykes, Sonny ",2018-2019,Feb 2018 -  ,Southern Methodist University ,Football 
"Dykstra, Joe ",2018-2019,May 2013 -  ,University of Utah ,Men's Swimming and Diving 
"Dykstra, Joe ",2018-2019,May 2013 -  ,University of Utah ,Women's Swimming and Diving 
"Eakin, Gordon ",2018-2019,Aug 2002 -  ,Brigham Young University ,Softball 
"Earl, Brian ",2018-2019,May 2016 -  ,Cornell University ,Men's Basketball 
"Earl, Dan ",2018-2019,May 2015 -  ,Virginia Military Institute ,Men's Basketball 
"Earle, James ",2018-2019,Sep 2018 -  ,Central Michigan University ,Women's Golf 
"Earnshaw, Eleri ",2018-2019,Mar 2017 -  ,Long Island University ,Women's Soccer 
"Earnshaw, Simon ",2018-2019,Jun 2014 -  ,North Carolina State University ,Women's Tennis 
"Easley, Dawn ",2018-2019,Mar 2014 -  ,Campbell University ,Women's Lacrosse 
"Easley, Shana ",2018-2019,Nov 2012 - Oct 2018 ,University of Northern Colorado ,Softball 
"Easterling, Judd ",2018-2019,Jun 2019 -  ,Wichita State University ,Men's Golf 
"Eastman, Granville ",2018-2019,Mar 2018 - Feb 2019 ,North Carolina Central University ,Football 
"Ebeling, Lisa ",2018-2019,Sep 2016 -  ,University of Northern Colorado ,Women's Swimming and Diving 
"Ecarma, Rex ",2018-2019,Aug 2003 - Sep 2019 ,University of Louisville ,Men's Tennis 
"Echko, Erica ",2018-2019,Sep 2017 -  ,University of Dayton ,Women's Tennis 
"Echo-Hawk, Tobin ",2018-2019,Jul 2013 - Jan 2020 ,University of Texas at El Paso ,Softball 
"Eckberg, Tim ",2018-2019,Oct 2015 -  ,Western Carolina University ,Men's Golf 
"Economopoulos, Tony ",2018-2019,Mar 2012 -  ,Mercer University ,Women's Soccer 
"Edsall, Randy ",2018-2019,Feb 2017 -  ,University of Connecticut ,Football 
"Edwards, Allen ",2018-2019,May 2016 - Apr 2020 ,University of Wyoming ,Men's Basketball 
"Edwards, Herm ",2018-2019,Jan 2018 -  ,Arizona State University ,Football 
"Edwards, Roy ",2018-2019,Sep 2006 -  ,"University of Colorado, Boulder ",Men's Golf 
"Eggerth, Andy ",2018-2019,Oct 2010 - Oct 2018 ,Kennesaw State University ,"Women's Track, Outdoor "
"Eggerth, Andy ",2018-2019,Oct 2010 - Oct 2018 ,Kennesaw State University ,"Men's Track, Indoor "
"Eggerth, Andy ",2018-2019,Oct 2010 - Oct 2018 ,Kennesaw State University ,"Men's Track, Outdoor "
"Eggerth, Andy ",2018-2019,Oct 2010 - Oct 2018 ,Kennesaw State University ,"Women's Track, Indoor "
"Eggum, Brandon ",2018-2019,Oct 2016 -  ,"University of Minnesota, Twin Cities ",Men's Wrestling 
"Ehehalt, Dean ",2018-2019,Aug 1993 -  ,Monmouth University ,Baseball 
"Ehsan, Robert ",2018-2019,May 2016 - Apr 2020 ,University of Alabama at Birmingham ,Men's Basketball 
"Eigner, Ty ",2018-2019,May 2019 -  ,Bowling Green State University ,Men's Ice Hockey 
"Eisenreich, Michelle ",2018-2019,Aug 2016 -  ,Princeton University ,"Women's Track, Indoor "
"Eisenreich, Michelle ",2018-2019,Aug 2016 -  ,Princeton University ,Women's Cross Country 
"Eisenreich, Michelle ",2018-2019,Aug 2016 -  ,Princeton University ,"Women's Track, Outdoor "
"El-Zare, Mohammed ",2018-2019,Feb 2013 -  ,The University of Southern Mississippi ,Women's Soccer 
"Elder, Mark ",2018-2019,Jan 2016 - Jan 2020 ,Eastern Kentucky University ,Football 
"Elderkin, Angel ",2018-2019,Nov 2014 -  ,Appalachian State University ,Women's Basketball 
"Elders, John ",2018-2019,Aug 2003 -  ,"California State University, Fullerton ",Men's Cross Country 
"Elders, John ",2018-2019,Aug 1988 -  ,"California State University, Fullerton ","Women's Track, Outdoor "
"Elders, John ",2018-2019,Aug 1988 -  ,"California State University, Fullerton ","Women's Track, Indoor "
"Elders, John ",2018-2019,Aug 2003 -  ,"California State University, Fullerton ",Women's Cross Country 
"Elders, John ",2018-2019,Aug 2003 -  ,"California State University, Fullerton ","Men's Track, Outdoor "
"Eldridge, Kim ",2018-2019,Jul 2019 -  ,Wofford College ,Women's Lacrosse 
"Elias, Kirk ",2018-2019,Aug 2004 -  ,"University of Nevada, Reno ",Women's Cross Country 
"Elkins, Barrett ",2018-2019,Sep 2018 -  ,Mount St. Mary's University ,Women's Tennis 
"Elkins, Barrett ",2018-2019,Sep 2018 -  ,Mount St. Mary's University ,Men's Tennis 
"Elliott - Whidden, Ann ",2018-2019,Jul 2012 -  ,"University of Colorado, Boulder ",Women's Lacrosse 
"Elliott, Charity ",2018-2019,May 2012 -  ,Loyola Marymount University ,Women's Basketball 
"Elliott, Daniel ",2018-2019,Aug 2012 -  ,Gardner-Webb University ,Men's Wrestling 
"Elliott, Gareth ",2018-2019,Sep 2013 -  ,University of Rhode Island ,Men's Soccer 
"Elliott, Jared ",2018-2019,Feb 2018 -  ,Western Illinois University ,Football 
"Elliott, Jerritt ",2018-2019,May 2001 -  ,University of Texas at Austin ,Women's Volleyball 
"Elliott, Joseph ",2018-2019,Aug 2008 -  ,Hofstra University ,Men's Golf 
"Elliott, Mark ",2018-2019,Aug 2013 -  ,Clemson University ,"Men's Track, Outdoor "
"Elliott, Mark ",2018-2019,Aug 2013 -  ,Clemson University ,"Men's Track, Indoor "
"Elliott, Mark ",2018-2019,Aug 2013 -  ,Clemson University ,Women's Cross Country 
"Elliott, Mark ",2018-2019,Aug 2013 -  ,Clemson University ,"Women's Track, Indoor "
"Elliott, Mark ",2018-2019,Aug 2013 -  ,Clemson University ,"Women's Track, Outdoor "
"Elliott, Mark ",2018-2019,Aug 2013 -  ,Clemson University ,Men's Cross Country 
"Elliott, Norbert ",2018-2019,Aug 2018 -  ,Purdue University ,"Women's Track, Outdoor "
"Elliott, Norbert ",2018-2019,Aug 2018 -  ,Purdue University ,"Women's Track, Indoor "
"Elliott, Norbert ",2018-2019,Aug 2018 -  ,Purdue University ,Men's Cross Country 
"Elliott, Norbert ",2018-2019,Aug 2018 -  ,Purdue University ,"Men's Track, Indoor "
"Elliott, Norbert ",2018-2019,Aug 2018 -  ,Purdue University ,Women's Cross Country 
"Elliott, Norbert ",2018-2019,Aug 2018 -  ,Purdue University ,"Men's Track, Outdoor "
"Elliott, Shawn ",2018-2019,Jan 2017 -  ,Georgia State University ,Football 
"Ellis, Cliff ",2018-2019,Aug 2007 -  ,Coastal Carolina University ,Men's Basketball 
"Ellis, Tess ",2018-2019,Oct 2013 -  ,William & Mary ,Field Hockey 
"Elliston, Mark ",2018-2019,Sep 2006 -  ,Elon University ,"Women's Track, Indoor "
"Elliston, Mark ",2018-2019,Sep 2006 -  ,Elon University ,"Women's Track, Outdoor "
"Elsisi, Rawia ",2018-2019,Sep 2013 -  ,Troy University ,Women's Tennis 
"Emanuel, Brenton ",2018-2019,Jul 2018 -  ,Eastern Illinois University ,"Women's Track, Indoor "
"Emanuel, Brenton ",2018-2019,Jul 2018 -  ,Eastern Illinois University ,"Men's Track, Outdoor "
"Emanuel, Brenton ",2018-2019,Jul 2018 -  ,Eastern Illinois University ,"Women's Track, Outdoor "
"Emanuel, Brenton ",2018-2019,Jul 2018 -  ,Eastern Illinois University ,"Women's Track, Indoor "
"Emanuel, Brenton ",2018-2019,Jul 2018 -  ,Eastern Illinois University ,"Men's Track, Indoor "
"Embick, Jared ",2018-2019,Feb 2013 -  ,University of Akron ,Men's Soccer 
"Emery, Matt ",2018-2019,Aug 2018 -  ,Kennesaw State University ,Women's Tennis 
"Emery, Matt ",2018-2019,Aug 2018 -  ,Kennesaw State University ,Men's Tennis 
"Emil, Justin ",2018-2019,Jul 2011 -  ,Rice University ,Men's Golf 
"Endelman, Howard ",2018-2019,Aug 2019 -  ,Columbia University-Barnard College ,Men's Tennis 
"Enfield, Andy ",2018-2019,May 2013 -  ,University of Southern California ,Men's Basketball 
"Engel, Christine ",2018-2019,Jun 2019 -  ,University of North Dakota ,"Men's Track, Indoor "
"Engel, Christine ",2018-2019,Jun 2019 -  ,University of North Dakota ,Women's Cross Country 
"Engel, Christine ",2018-2019,Jun 2019 -  ,University of North Dakota ,"Women's Track, Outdoor "
"Engel, Christine ",2018-2019,Jun 2019 -  ,University of North Dakota ,Men's Cross Country 
"Engel, Christine ",2018-2019,Jun 2019 -  ,University of North Dakota ,"Men's Track, Outdoor "
"Engel, Christine ",2018-2019,Jun 2019 -  ,University of North Dakota ,"Women's Track, Indoor "
"Engelstad, Dan ",2018-2019,Jun 2018 -  ,Mount St. Mary's University ,Men's Basketball 
"Engineer, Zubin ",2018-2019,Dec 2013 -  ,The University of Southern Mississippi ,Men's Tennis 
"England, Christopher ",2018-2019,Dec 2011 - Aug 2019 ,Georgia State University ,"Women's Track, Outdoor "
"England, Christopher ",2018-2019,Apr 2010 - Aug 2020 ,Georgia State University ,Women's Cross Country 
"England, Christopher ",2018-2019,Dec 2011 - Aug 2019 ,Georgia State University ,"Women's Track, Indoor "
"Engle, Marling 'Newt' ",2018-2019,Sep 1978 -  ,University of Akron ,Mixed Rifle 
"Engles, Jim ",2018-2019,May 2016 -  ,Columbia University-Barnard College ,Men's Basketball 
"Engstrom, MJ ",2018-2019,Aug 2009 - Mar 2019 ,University at Albany ,Women's Volleyball 
"Enloe, Jason ",2018-2019,Sep 2014 - Mar 2020 ,Southern Methodist University ,Men's Golf 
"Ense, Matt ",2018-2019,Aug 2015 - Sep 2018 ,Bowling Green State University ,Women's Swimming and Diving 
"Entz, Matt ",2018-2019,Feb 2019 -  ,North Dakota State University ,Football 
"Epley, Kevin ",2018-2019,Jul 2012 -  ,"University of South Carolina, Columbia ",Women's Tennis 
"Erdmann, Cory ",2018-2019,Aug 2018 -  ,Eastern Kentucky University ,Women's Cross Country 
"Erdmann, Cory ",2018-2019,Aug 2018 -  ,Eastern Kentucky University ,"Men's Track, Indoor "
"Erdmann, Cory ",2018-2019,Aug 2018 -  ,Eastern Kentucky University ,"Women's Track, Outdoor "
"Erdmann, Cory ",2018-2019,Aug 2018 -  ,Eastern Kentucky University ,Men's Cross Country 
"Erdmann, Cory ",2018-2019,Aug 2018 -  ,Eastern Kentucky University ,"Women's Track, Indoor "
"Erdmann, Cory ",2018-2019,Aug 2018 -  ,Eastern Kentucky University ,"Men's Track, Outdoor "
"Ereng, Paul ",2018-2019,Sep 2003 -  ,University of Texas at El Paso ,Men's Cross Country 
"Ereng, Paul ",2018-2019,Sep 2003 -  ,University of Texas at El Paso ,Women's Cross Country 
"Ericksen, Brent ",2018-2019,Aug 2017 -  ,Texas A&M University-Corpus Christi ,"Women's Track, Outdoor "
"Ericksen, Brent ",2018-2019,Aug 2017 -  ,Texas A&M University-Corpus Christi ,"Men's Track, Indoor "
"Ericksen, Brent ",2018-2019,Aug 2017 -  ,Texas A&M University-Corpus Christi ,"Women's Track, Indoor "
"Ericksen, Brent ",2018-2019,Aug 2017 -  ,Texas A&M University-Corpus Christi ,Women's Cross Country 
"Ericksen, Brent ",2018-2019,Aug 2017 -  ,Texas A&M University-Corpus Christi ,"Men's Track, Outdoor "
"Ericksen, Brent ",2018-2019,Aug 2017 -  ,Texas A&M University-Corpus Christi ,Men's Cross Country 
"Erickson, Bruce ",2018-2019,Mar 2017 -  ,University of Northern Iowa ,Women's Soccer 
"Eriksen, Ken ",2018-2019,Aug 2003 -  ,University of South Florida ,Softball 
"Erling, Scott ",2018-2019,Nov 2013 -  ,Weber State University ,Men's Golf 
"Ernst, Gordie ",2018-2019,Dec 2018 - Apr 2019 ,University of Rhode Island ,Women's Tennis 
"Ersland, Tony ",2018-2019,Jul 2014 -  ,Purdue University ,Men's Wrestling 
"Erstad, Darin ",2018-2019,Jul 2011 - Jul 2019 ,"University of Nebraska, Lincoln ",Baseball 
"Erwin, Michael ",2018-2019,Apr 2018 -  ,University of the Pacific ,Women's Tennis 
"Esche, Matt ",2018-2019,Sep 2015 -  ,University of Alabama at Birmingham ,Women's Cross Country 
"Escobedo, Angel ",2018-2019,May 2018 -  ,"Indiana University, Bloomington ",Men's Wrestling 
"Esmail, Rahim ",2018-2019,Oct 2011 -  ,Samford University ,Men's Tennis 
"Esposito, Mike ",2018-2019,Sep 2005 -  ,High Point University ,"Men's Track, Indoor "
"Esposito, Mike ",2018-2019,Aug 2005 -  ,High Point University ,Men's Cross Country 
"Esposito, Mike ",2018-2019,Aug 2005 -  ,High Point University ,"Men's Track, Outdoor "
"Esposito, Mike ",2018-2019,Aug 2005 -  ,High Point University ,"Women's Track, Outdoor "
"Esposito, Mike ",2018-2019,Sep 2005 -  ,High Point University ,"Women's Track, Indoor "
"Esquer, David ",2018-2019,Jul 2017 -  ,Stanford University ,Baseball 
"Estes, Phil ",2018-2019,Jan 1998 - Jul 2019 ,Brown University ,Football 
"Estes-Taylor, Shauna ",2018-2019,Jul 2007 -  ,"University of Arkansas, Fayetteville ",Women's Golf 
"Etelman, Brian ",2018-2019,Aug 2015 -  ,Ball State University ,"Women's Track, Indoor "
"Etelman, Brian ",2018-2019,Aug 2015 -  ,Ball State University ,"Women's Track, Outdoor "
"Etelman, Brian ",2018-2019,Aug 2015 -  ,Ball State University ,Women's Cross Country 
"Ethridge, Kamie ",2018-2019,May 2018 -  ,Washington State University ,Women's Basketball 
"Etters, Todd ",2018-2019,Sep 2008 -  ,Lehigh University ,Men's Cross Country 
"Etzkin, Brian ",2018-2019,Sep 2002 -  ,Cleveland State University ,Men's Tennis 
"Etzkin, Brian ",2018-2019,Sep 2002 - Dec 2020 ,Cleveland State University ,Women's Tennis 
"Eubanks, Brooke ",2018-2019,Aug 2014 -  ,"University of California, Berkeley ",Women's Lacrosse 
"Eustace, Samantha ",2018-2019,Sep 2015 -  ,Mercer University ,Women's Lacrosse 
"Evans, Jo ",2018-2019,Sep 1996 -  ,"Texas A&M University, College Station ",Softball 
"Evans, Mary ",2018-2019,May 2018 -  ,Valparaiso University ,Women's Basketball 
"Evans, William ",2018-2019,Apr 2012 - Jun 2019 ,Idaho State University ,Men's Basketball 
"Everist, Kirk ",2018-2019,Sep 2002 -  ,"University of California, Berkeley ",Men's Water Polo 
"Ewing, Patrick ",2018-2019,May 2017 -  ,Georgetown University ,Men's Basketball 
"Eyestone, Ed ",2018-2019,Aug 2013 -  ,Brigham Young University ,"Women's Track, Outdoor "
"Eyestone, Ed ",2018-2019,Aug 2013 -  ,Brigham Young University ,"Men's Track, Indoor "
"Eyestone, Ed ",2018-2019,Aug 2013 -  ,Brigham Young University ,"Men's Track, Outdoor "
"Eyestone, Ed ",2018-2019,Aug 2013 -  ,Brigham Young University ,Women's Cross Country 
"Eyestone, Ed ",2018-2019,Aug 2013 -  ,Brigham Young University ,"Women's Track, Indoor "
"Eyestone, Ed ",2018-2019,Aug 2000 -  ,Brigham Young University ,Men's Cross Country 
"Ezell, Britney ",2018-2019,Jun 2013 - Apr 2021 ,East Tennessee State University ,Women's Basketball 
"Fabbri, Tricia ",2018-2019,Aug 1995 -  ,Quinnipiac University ,Women's Basketball 
"Fabiano, Troy ",2018-2019,Feb 2015 -  ,University of Wisconsin-Milwaukee ,Women's Soccer 
"Faherty, Brendan ",2018-2019,Feb 2016 - Apr 2019 ,Stony Brook University ,Women's Soccer 
"Faherty, Brendan ",2018-2019,Apr 2019 - Jan 2020 ,Yale University ,Women's Soccer 
"Fahey, Nancy K. ",2018-2019,Apr 2017 -  ,University of Illinois Urbana-Champaign ,Women's Basketball 
"Fairchild, Germaine ",2018-2019,Aug 2014 -  ,Purdue University Fort Wayne ,Softball 
"Fannon, Matt ",2018-2019,Apr 2017 - Feb 2020 ,Bowling Green State University ,Women's Soccer 
"Farden, Tom ",2018-2019,May 2015 -  ,University of Utah ,Women's Gymnastics 
"Fargas, Nikki ",2018-2019,May 2011 -  ,Louisiana State University ,Women's Basketball 
"Fargo, Gregory ",2018-2019,Jun 2012 -  ,Colgate University ,Women's Ice Hockey 
"Farina, Ron ",2018-2019,Sep 2018 -  ,New Jersey Institute of Technology ,Men's Swimming and Diving 
"Farler, Abigail ",2018-2019,Jul 2019 -  ,Abilene Christian University ,Softball 
"Farley, Mark ",2018-2019,May 2001 -  ,University of Northern Iowa ,Football 
"Farooq, Yasmin ",2018-2019,Aug 2016 -  ,University of Washington ,Women's Rowing 
"Farquhar, Lynn ",2018-2019,Aug 2014 -  ,Saint Joseph's University ,Field Hockey 
"Farr-Kaye, Melissa ",2018-2019,Jul 2015 -  ,Arizona State University ,Women's Golf 
"Farrell, Kevin ",2018-2019,Sep 2018 -  ,Mount St. Mary's University ,Women's Golf 
"Farrell, Kevin ",2018-2019,Sep 2018 -  ,Mount St. Mary's University ,Men's Golf 
"Farrell, Robert ",2018-2019,Jul 2019 -  ,"Rutgers, The State University of New Jersey, New Brunswick ","Men's Track, Indoor "
"Farrell, Robert ",2018-2019,Jul 2019 -  ,"Rutgers, The State University of New Jersey, New Brunswick ","Women's Track, Indoor "
"Farrell, Robert ",2018-2019,Jul 2019 -  ,"Rutgers, The State University of New Jersey, New Brunswick ",Women's Cross Country 
"Farrell, Robert ",2018-2019,Jul 2019 -  ,"Rutgers, The State University of New Jersey, New Brunswick ","Women's Track, Outdoor "
"Farrell, Robert ",2018-2019,Jul 2019 -  ,"Rutgers, The State University of New Jersey, New Brunswick ","Men's Track, Outdoor "
"Faulconer, Eric ",2018-2019,Aug 2019 -  ,University of North Florida ,Women's Soccer 
"Favero, Juan Pablo ",2018-2019,Mar 2017 -  ,Oakland University ,Women's Soccer 
"Federico, Michael ",2018-2019,Aug 2017 -  ,University of Louisiana Monroe ,Baseball 
"Federico, Sara ",2018-2019,Aug 2016 -  ,Weber State University ,Women's Golf 
"Fediuk, Patrick ",2018-2019,Jan 2016 - Jun 2019 ,Presbyterian College ,Men's Tennis 
"Fedora, Larry ",2018-2019,Jan 2012 - Mar 2019 ,"University of North Carolina, Chapel Hill ",Football 
"Fedorjaka, Frank ",2018-2019,Aug 2004 -  ,Bucknell University ,Men's Lacrosse 
"Feifs, Chris ",2018-2019,Sep 2016 -  ,University of Vermont ,Men's Lacrosse 
"Feit-Melnick, Laurie ",2018-2019,Sep 1992 -  ,University of Rhode Island ,"Women's Track, Outdoor "
"Feit-Melnick, Laurie ",2018-2019,Aug 2003 -  ,University of Rhode Island ,Women's Cross Country 
"Feit-Melnick, Laurie ",2018-2019,Sep 1992 -  ,University of Rhode Island ,"Women's Track, Indoor "
"Fekete, Eric ",2018-2019,Aug 2001 - Dec 2018 ,Quinnipiac University ,Men's Lacrosse 
"Feld, Ben ",2018-2019,Feb 2016 -  ,Drexel University ,Men's Golf 
"Feldman, Jeremy ",2018-2019,Aug 2016 - Oct 2019 ,The University of North Carolina at Charlotte ,Men's Tennis 
"Feldman, Nancy ",2018-2019,Aug 1995 -  ,Boston University ,Women's Soccer 
"Feliciano, Chris ",2018-2019,Jun 2019 -  ,University of New Hampshire ,Women's Volleyball 
"Feliciano, Chris ",2018-2019,Mar 2011 - Jun 2019 ,Rider University ,Women's Volleyball 
"Felton, Dennis ",2018-2019,Apr 2017 - Aug 2019 ,Cleveland State University ,Men's Basketball 
"Fennelly, Bill ",2018-2019,Aug 1995 -  ,Iowa State University ,Women's Basketball 
"Ferenczi-Bako, Anett ",2018-2019,Oct 2017 - Sep 2018 ,Wagner College ,Women's Tennis 
"Ferentz, Kirk ",2018-2019,Jan 1999 -  ,University of Iowa ,Football 
"Ferguson, Bill ",2018-2019,Apr 2016 - Apr 2019 ,Wake Forest University ,Women's Volleyball 
"Ferguson, Patrick ",2018-2019,Mar 2005 -  ,Wright State University ,Women's Soccer 
"Ferguson-Dayes, Karen ",2018-2019,Aug 2003 -  ,University of Louisville ,Women's Soccer 
"Fernandez, Ivan ",2018-2019,Jul 2017 -  ,University of Texas at El Paso ,Women's Tennis 
"Fernandez, Jose ",2018-2019,Aug 2003 -  ,University of South Florida ,Women's Basketball 
"Ferrante, Mark ",2018-2019,Feb 2017 -  ,Villanova University ,Football 
"Ferraro, Keith ",2018-2019,Oct 2014 -  ,Clarion University of Pennsylvania ,Men's Wrestling 
"Ferreira, Brad ",2018-2019,Aug 2015 - Feb 2019 ,Weber State University ,Women's Tennis 
"Ferreira, Brad ",2018-2019,Sep 2012 -  ,Weber State University ,Men's Tennis 
"Ferreira, Brad ",2018-2019,Jun 2019 - Aug 2019 ,Weber State University ,Women's Tennis 
"Ferrell, Quinton ",2018-2019,May 2019 -  ,Presbyterian College ,Men's Basketball 
"Ferrero, Lisa ",2018-2019,Sep 2017 - Sep 2019 ,Towson University ,Women's Golf 
"Ferris, Elizabeth ",2018-2019,Apr 2017 -  ,"University of California, Irvine ",Women's Tennis 
"Fetcho, Justin ",2018-2019,Sep 2014 - Nov 2020 ,Southern Illinois University at Carbondale ,Men's Golf 
"Fetterhoff, Jody ",2018-2019,Nov 2015 -  ,Duquesne University ,Women's Bowling 
"Fetzer, Bryan ",2018-2019,Feb 2012 - Aug 2019 ,University of Virginia ,"Women's Track, Indoor "
"Fetzer, Bryan ",2018-2019,Feb 2012 - Aug 2019 ,University of Virginia ,"Women's Track, Outdoor "
"Fetzer, Bryan ",2018-2019,Feb 2012 - Aug 2019 ,University of Virginia ,"Men's Track, Indoor "
"Fetzer, Bryan ",2018-2019,Feb 2012 - Aug 2019 ,University of Virginia ,"Men's Track, Outdoor "
"Few, Mark ",2018-2019,Sep 1999 -  ,Gonzaga University ,Men's Basketball 
"Fewing, Peter ",2018-2019,Mar 2012 -  ,Seattle University ,Men's Soccer 
"Fichtner, Molly ",2018-2019,Oct 2018 -  ,University of Louisiana Monroe ,Softball 
"Fickell, Luke ",2018-2019,Jan 2017 -  ,University of Cincinnati ,Football 
"Field, Laura ",2018-2019,Aug 2015 -  ,Fairfield University ,Women's Lacrosse 
"Fields, John ",2018-2019,Sep 1997 -  ,University of Texas at Austin ,Men's Golf 
"Fife, Jordan ",2018-2019,Sep 2014 -  ,Missouri State University ,Women's Cross Country 
"Fife, Jordan ",2018-2019,Aug 2018 -  ,Missouri State University ,"Women's Track, Outdoor "
"Fife, Jordan ",2018-2019,Aug 2018 -  ,Missouri State University ,"Women's Track, Indoor "
"Figger, Matt ",2018-2019,May 2017 -  ,Austin Peay State University ,Men's Basketball 
"Figlio, Carli ",2018-2019,Feb 2007 -  ,Monmouth University ,Field Hockey 
"Figueroa, Christian ",2018-2019,Feb 2011 -  ,University of Massachusetts Lowell ,Men's Soccer 
"Filar, Travis ",2018-2019,Apr 2011 -  ,University of Tennessee at Chattanooga ,Women's Volleyball 
"Filipek, Przemyslaw ",2018-2019,Sep 2017 - Oct 2019 ,Wagner College ,Men's Tennis 
"Fillman, Kevin ",2018-2019,Aug 1997 -  ,Longwood University ,Men's Golf 
"Filter, Rusty ",2018-2019,Aug 2017 -  ,Santa Clara University ,Baseball 
"Fincher, Matt ",2018-2019,Sep 1997 - Jul 2019 ,University of South Carolina Upstate ,Baseball 
"Findley, Kelly ",2018-2019,Feb 2019 -  ,Liberty University ,Men's Soccer 
"Fink, Colleen ",2018-2019,May 2010 -  ,University of Pennsylvania ,Field Hockey 
"Finkbeiner, Jerry ",2018-2019,Jun 2012 - Jan 2020 ,Utah State University ,Women's Basketball 
"Finley, James ",2018-2019,Mar 2013 -  ,Seattle University ,Women's Volleyball 
"Finnie, Donna ",2018-2019,May 2013 -  ,Houston Baptist University ,Women's Basketball 
"Finwood, Chris ",2018-2019,Aug 2011 -  ,Old Dominion University ,Baseball 
"Fischer, Dane ",2018-2019,May 2019 -  ,William & Mary ,Men's Basketball 
"Fischer, Melinda ",2018-2019,Jun 1979 -  ,Illinois State University ,Softball 
"Fish, Brian ",2018-2019,May 2014 - Apr 2019 ,Montana State University-Bozeman ,Men's Basketball 
"Fish, David ",2018-2019,Aug 2003 - Sep 2018 ,Harvard University ,Men's Tennis 
"Fisher, Alison ",2018-2019,Jul 2008 - Aug 2019 ,Lafayette College ,Women's Lacrosse 
"Fisher, Ashley ",2018-2019,Aug 2016 -  ,University of South Florida ,Men's Tennis 
"Fisher, Brian ",2018-2019,Aug 2012 -  ,Monmouth University ,Men's Lacrosse 
"Fisher, Cindy ",2018-2019,Jun 2005 -  ,University of San Diego ,Women's Basketball 
"Fisher, Daniel ",2018-2019,Feb 2013 -  ,University of Pittsburgh ,Women's Volleyball 
"Fisher, Jen ",2018-2019,Sep 2010 -  ,Colorado State University ,Softball 
"Fisher, Jimbo ",2018-2019,Jan 2018 -  ,"Texas A&M University, College Station ",Football 
"Fisher, Patrick ",2018-2019,Sep 2009 -  ,Northern Illinois University ,Men's Tennis 
"Fisher, Ronny ",2018-2019,May 2016 -  ,Campbell University ,Women's Basketball 
"Fiske, Steve ",2018-2019,Oct 1999 - Sep 2019 ,Boston College ,Women's Rowing 
