Name,Date,Period,School,Sport
"Antun, Mauricio ",2018-2019,Mar 2016 -  ,Belmont University ,Men's Tennis 
"Aoki, Mik ",2018-2019,Aug 2010 - Aug 2019 ,University of Notre Dame ,Baseball 
"Aoki, Mikio ",2018-2019,Aug 2019 -  ,Morehead State University ,Baseball 
"Appleman, Erin ",2018-2019,Aug 2003 -  ,Yale University ,Women's Volleyball 
"Applewhite, Major ",2018-2019,Jan 2017 - Feb 2019 ,University of Houston ,Football 
"Applin, Fred ",2018-2019,Jun 2012 -  ,Charleston Southern University ,Women's Basketball 
"Aprile, Holly ",2018-2019,Aug 2018 -  ,University of Louisville ,Softball 
"Arce, Marisa ",2018-2019,Jul 2015 - Sep 2019 ,Indiana University-Purdue University Indianapolis ,Women's Tennis 
"Archer, David ",2018-2019,Feb 2013 -  ,Cornell University ,Football 
"Ardizzone, Mark ",2018-2019,Feb 1997 - Jul 2019 ,DePaul University ,Women's Tennis 
"Arlinghaus, Brian ",2018-2019,Aug 2017 -  ,Wright State University ,Men's Golf 
"Armstrong, James ",2018-2019,Feb 2019 -  ,Mississippi State University ,Women's Soccer 
"Arroyo, Gavin ",2018-2019,Mar 2006 -  ,Long Beach State University ,Men's Water Polo 
"Arroyo, Gavin ",2018-2019,Aug 2008 - Jul 2020 ,Long Beach State University ,Women's Water Polo 
"Arth, Tom ",2018-2019,Feb 2019 -  ,University of Akron ,Football 
"Arth, Tom ",2018-2019,Mar 2017 - Feb 2019 ,University of Tennessee at Chattanooga ,Football 
"Asalon, Todd ",2018-2019,Sep 2001 -  ,Northern Kentucky University ,Baseball 
"Ascher, Steve ",2018-2019,Aug 2008 -  ,University of Montana ,Women's Tennis 
"Ash, Chris ",2018-2019,Jan 2016 - Oct 2019 ,"Rutgers, The State University of New Jersey, New Brunswick ",Football 
"Ashburn, Ryan ",2018-2019,Aug 2018 -  ,University of Alabama at Birmingham ,Women's Golf 
"Ashworth, Jamie ",2018-2019,Aug 1997 -  ,Duke University ,Women's Tennis 
"Askew, Nicholas ",2018-2019,Jul 2014 -  ,Howard University ,Men's Swimming and Diving 
"Askew, Nicholas ",2018-2019,Jul 2014 -  ,Howard University ,Women's Swimming and Diving 
"Aston, Karen ",2018-2019,May 2012 - May 2020 ,University of Texas at Austin ,Women's Basketball 
"Atherley, Scott ",2018-2019,Aug 2003 -  ,University of Maine ,Women's Soccer 
"Atkins, Dallen ",2018-2019,Sep 2017 -  ,Idaho State University ,Women's Golf 
"Atkinson, Brooke ",2018-2019,May 2017 -  ,New Mexico State University ,Women's Basketball 
"Atkinson, Bruce ",2018-2019,Mar 2019 -  ,Delaware State University ,Women's Volleyball 
"Atkinson, Jon ",2018-2019,Mar 2005 -  ,Longwood University ,Men's Soccer 
"Atoa, Sam ",2018-2019,Aug 2004 -  ,Utah Valley University ,Women's Volleyball 
"Aufrichtig, Michael ",2018-2019,Aug 2011 -  ,Columbia University-Barnard College ,Women's Fencing 
"Aufrichtig, Michael ",2018-2019,Aug 2011 -  ,Columbia University-Barnard College ,Men's Fencing 
"Augustus, Amanda ",2018-2019,Aug 2007 -  ,"University of California, Berkeley ",Women's Tennis 
"Auriemma, Geno ",2018-2019,Jun 1985 -  ,University of Connecticut ,Women's Basketball 
"Ausanio, Joe ",2018-2019,Sep 2008 -  ,Marist College ,Softball 
"Avent, Elliott ",2018-2019,Sep 1996 -  ,North Carolina State University ,Baseball 
"Averill, Jennifer D ",2018-2019,Jul 1992 -  ,Wake Forest University ,Field Hockey 
"Avery, Carin ",2018-2019,Aug 2003 -  ,Valparaiso University ,Women's Volleyball 
"Avery, Mike ",2018-2019,Feb 2007 -  ,Valparaiso University ,Men's Soccer 
"Ayers, Erica ",2018-2019,Sep 2017 -  ,Jacksonville University ,Softball 
"Ayres, Chris ",2018-2019,Aug 2006 -  ,Princeton University ,Men's Wrestling 
"Azcui, Ramiro ",2018-2019,Feb 2017 -  ,"Indiana University, Bloomington ",Women's Tennis 
"Azem, Samar ",2018-2019,Sep 2017 -  ,Campbell University ,Women's Soccer 
"Azevedo, Matt ",2018-2019,May 2011 -  ,Drexel University ,Men's Wrestling 
"Baarts, Rob ",2018-2019,Feb 2018 -  ,New Mexico State University ,Women's Soccer 
"Baber, Bill ",2018-2019,Oct 2010 -  ,California Baptist University ,Softball 
"Babers, Dino ",2018-2019,Jan 2016 -  ,Syracuse University ,Football 
"Babineau, Josette ",2018-2019,Mar 2007 -  ,University of Maine ,Field Hockey 
"Babst, Mike ",2018-2019,Feb 2019 -  ,Davidson College ,Men's Soccer 
"Badeaux, Lon ",2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,"Women's Track, Outdoor "
"Badeaux, Lon ",2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,Women's Cross Country 
"Badeaux, Lon ",2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,Men's Cross Country 
"Badeaux, Lon ",2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,"Women's Track, Indoor "
"Badeaux, Lon ",2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,"Men's Track, Outdoor "
"Badeaux, Lon ",2018-2019,Aug 2011 -  ,University of Louisiana at Lafayette ,"Men's Track, Indoor "
"Baggett, Kevin ",2018-2019,Jun 2012 -  ,Rider University ,Men's Basketball 
"Bagley, Chad ",2018-2019,Jul 2017 -  ,U.S. Military Academy ,Men's Golf 
"Bagnoli, Al ",2018-2019,Mar 2015 -  ,Columbia University-Barnard College ,Football 
"Bailey, Steve ",2018-2019,Sep 2010 -  ,Marquette University ,Men's Golf 
"Bailey-Duvall, Tayo ",2018-2019,Aug 2012 - Sep 2018 ,Butler University ,Women's Tennis 
"Bailey-Duvall, Tayo ",2018-2019,Sep 2018 -  ,Middle Tennessee State University ,Women's Tennis 
"Baine, Britney ",2018-2019,Aug 2019 -  ,Norfolk State University ,Men's Tennis 
"Baine, Britney ",2018-2019,Aug 2019 -  ,Norfolk State University ,Women's Tennis 
"Baine, Britney ",2018-2019,Aug 2019 - Aug 2020 ,Norfolk State University ,Men's Tennis 
"Baine, Britney ",2018-2019,Aug 2019 - Aug 2020 ,Norfolk State University ,Women's Tennis 
