"","Name","Date","Period","School","Sport"
"89","Almoney, Kyle ","2018-2019","Oct 2018 - Mar 2019 ","Saint Francis University (Pennsylvania) ","Women's Swimming and Diving "
"90","Almquist, Zoe ","2018-2019","Apr 2019 -  ","Davidson College ","Field Hockey "
"91","Alonso, Al ","2018-2019","Oct 2003 -  ","New Jersey Institute of Technology ","Women's Track, Outdoor "
"92","Alonso, Al ","2018-2019","Oct 2003 -  ","New Jersey Institute of Technology ","Men's Track, Indoor "
"93","Alonso, Al ","2018-2019","Oct 2003 -  ","New Jersey Institute of Technology ","Men's Track, Outdoor "
"94","Alonso, Al ","2018-2019","Oct 2003 -  ","New Jersey Institute of Technology ","Women's Track, Indoor "
"95","Alonso, Al ","2018-2019","Oct 2003 -  ","New Jersey Institute of Technology ","Men's Cross Country "
"96","Alonso, Al ","2018-2019","Oct 2003 -  ","New Jersey Institute of Technology ","Women's Cross Country "
"97","Altman, Dana ","2018-2019","Oct 2011 -  ","University of Oregon ","Men's Basketball "
"98","Alvey, Molly ","2018-2019","Mar 2012 -  ","University of Cincinnati ","Women's Volleyball "
"99","Alvine, Al ","2018-2019","Feb 2012 -  ","Duquesne University ","Women's Soccer "
"100","Amaker, Tommy ","2018-2019","May 2007 -  ","Harvard University ","Men's Basketball "
"101","Amato, Tony ","2018-2019","Feb 2013 -  ","University of Arizona ","Women's Soccer "
"102","Ambrose, Darren ","2018-2019","Mar 2015 -  ","Vanderbilt University ","Women's Soccer "
"103","Ambrose, Rob ","2018-2019","Jan 2009 -  ","Towson University ","Football "
"104","Amicone, Mary Kay ","2018-2019","Jul 2013 -  ","Weber State University ","Softball "
"105","Amonte-Hiller, Kelly ","2018-2019","Oct 2000 -  ","Northwestern University ","Women's Lacrosse "
"106","Amores, Andres ","2018-2019","Aug 2015 -  ","Jacksonville State University ","Women's Tennis "
"107","Amores, Andres ","2018-2019","Aug 2015 -  ","Jacksonville State University ","Men's Tennis "
"108","Amos, Jake ","2018-2019","Jul 2019 -  ","East Tennessee State University ","Men's Golf "
"109","Amplo, Joe ","2018-2019","Jul 2019 -  ","U.S. Naval Academy ","Men's Lacrosse "
"110","Amplo, Joe ","2018-2019","Mar 2011 - Jul 2019 ","Marquette University ","Men's Lacrosse "
"111","Amundson, Kara ","2018-2019","Jul 2012 -  ","Murray State University ","Softball "
"112","Amundson, Lauren ","2018-2019","Jun 2015 - Jun 2019 ","Marist College ","Women's Volleyball "
"113","Anagnost, Tom ","2018-2019","Apr 2017 - Feb 2019 ","Mississippi State University ","Women's Soccer "
"114","Anagnost, Tom ","2018-2019","Feb 2019 - Mar 2021 ","University of Illinois Chicago ","Women's Soccer "
"115","Anastopoulo, Angelo ","2018-2019","Oct 1991 -  ","College of Charleston (South Carolina) ","Women's Tennis "
"116","Anatol, Ryan ","2018-2019","Apr 2011 -  ","Stony Brook University ","Men's Soccer "
"117","Andersen, Gary ","2018-2019","Mar 2019 - Dec 2020 ","Utah State University ","Football "
"118","Anderson , Kalen ","2018-2019","Mar 2008 -  ","University of South Carolina, Columbia ","Women's Golf "
"119","Anderson, Avery ","2018-2019","Aug 2017 -  ","University of California, Los Angeles ","Women's Track, Indoor "
"120","Anderson, Avery ","2018-2019","Aug 2017 -  ","University of California, Los Angeles ","Men's Track, Outdoor "
"121","Anderson, Avery ","2018-2019","Aug 2017 -  ","University of California, Los Angeles ","Men's Cross Country "
"122","Anderson, Avery ","2018-2019","Aug 2017 -  ","University of California, Los Angeles ","Women's Track, Outdoor "
"123","Anderson, Avery ","2018-2019","Aug 2017 -  ","University of California, Los Angeles ","Men's Track, Indoor "
"124","Anderson, Avery ","2018-2019","Aug 2017 -  ","University of California, Los Angeles ","Women's Cross Country "
