,School,Latitude,Longitude
184,"University of South Carolina, Columbia",33.99772000000007,-81.03014999999994
185,New Mexico State University,32.285430000000076,-106.74541999999997
186,Texas Christian University,32.711290000000076,-97.36114999999995
187,Southeast Missouri State University,37.31192000000004,-89.53078999999997
188,Texas Southern University,29.72482000000008,-95.36298999999997
189,Grambling State University,32.521570000000054,-92.71362999999997
190,California Polytechnic State University,35.296080000000075,-120.65299999999996
191,"Indiana University, Bloomington",39.17351000000008,-86.51604999999995
192,Tulane University,29.93661000000003,-90.12198999999998
193,"California State University, Fullerton",33.87994000000003,-117.88541999999995
194,Louisiana Tech University,32.52811000000003,-92.64917999999994
195,Boston University,42.35045000000008,-71.09882999999996
196,Bradley University,40.696390000000065,-89.61606999999998
197,Michigan Technological University,47.119030000000066,-88.55140999999998
198,Binghamton University,42.086790000000065,-75.96930999999995
199,University of Michigan,41.94900000000007,-84.98997999999995
200,"University of Nevada, Reno",39.547690000000046,-119.82103999999998
201,University of New Hampshire,43.14109000000008,-70.93831999999998
202,Eastern Washington University,47.48997000000003,-117.57794999999999
203,Bloomsburg University of Pennsylvania,41.00527000000005,-76.45097999999996
204,University of Rhode Island,41.48372000000006,-71.52567999999997
205,Alcorn State University,31.876040000000046,-91.14003999999994
206,Hofstra University,40.71675000000005,-73.59975999999995
207,Western Kentucky University,36.98689000000007,-86.45040999999998
208,"University of Nevada, Las Vegas",36.10716000000008,-115.14240999999998
209,Northwestern State University,31.749940000000038,-93.09702999999996
210,University of Idaho,46.72819000000004,-117.00689999999997
211,North Carolina State University,35.78730000000007,-78.66495999999995
212,"University of Nebraska, Lincoln",40.82220200000006,-96.69748799999996
213,Saint Peter's University,11.670260000000042,78.15805000000006
214,University of Alabama at Birmingham,33.502080000000035,-86.80631999999997
215,Marist College,38.94321459400004,-76.99573023099998
216,Lehigh University,40.60713000000004,-75.37897999999996
217,Loyola University Chicago,42.001820000000066,-87.65951999999999
218,American University,38.936240000000055,-77.08621999999997
219,University of Kansas,38.96112000000005,-95.25105999999994
220,University of Vermont,44.475400000000036,-73.20021999999994
221,"University of California, Santa Barbara",34.416300000000035,-119.84735999999998
222,Pepperdine University,51.49818000000005,-0.1745499999999538
223,College of Charleston (South Carolina),32.78372000000007,-79.93724999999995
224,University of Northern Colorado,40.41184000000004,-104.69228999999996
225,University of the Incarnate Word,29.466770000000054,-98.46566999999999
226,New Jersey Institute of Technology,40.74281000000008,-74.17620999999997
227,Niagara University,43.137770000000046,-79.03850999999997
228,University of Florida,29.649730000000034,-82.34112999999996
229,Clemson University,34.67980000000006,-82.83546999999999
230,Mercyhurst University,42.10396000000003,-80.05392999999998
231,Oklahoma State University,36.12618000000003,-97.07186999999999
232,McNeese State University,30.180950000000053,-93.21805999999998
233,"Minnesota State University, Mankato",44.15208000000007,-93.99948999999998
234,Presbyterian College,34.46622000000008,-81.87942999999996
235,University of Georgia,33.95720000000006,-83.37405999999999
236,Texas State University,29.88877000000008,-97.93743999999998
237,Old Dominion University,36.88898000000006,-76.30346999999995
238,Missouri State University,37.19855000000007,-93.27845999999994
239,Howard University,38.922660000000064,-77.01889999999997
240,Liberty University,37.350280000000055,-79.17908999999997
241,Houston Baptist University,29.69807000000003,-95.51532999999995
242,University of Virginia,38.03618000000006,-78.50161999999995
243,University of Toledo,41.662990000000036,-83.61047999999994
244,Siena College,42.717820000000074,-73.75026999999994
245,Prairie View A&M University,30.087950000000035,-95.98924999999997
246,University of Connecticut,41.80904000000004,-72.25754999999998
