School,Number of Total Coaches,Number of Men Coaches,Number of Women Coaches,Percentage Men Coaches,Percentage Women Coaches
"University of Tennessee, Knoxville",20,8,12,40.0,60.0
University of Texas at Arlington,15,12,3,80.0,20.0
University of Texas at Austin,20,17,3,85.0,15.0
University of Texas at El Paso,15,10,5,66.67,33.33
University of Texas at San Antonio,17,13,4,76.47,23.53
University of Toledo,16,9,7,56.25,43.75
University of Utah,20,16,4,80.0,20.0
University of Vermont,18,14,4,77.78,22.22
University of Virginia,26,19,7,73.08,26.92
University of Washington,21,11,10,52.38,47.62
University of Wisconsin-Green Bay,16,15,1,93.75,6.25
University of Wisconsin-Madison,23,16,7,69.57,30.43
University of Wisconsin-Milwaukee,15,14,1,93.33,6.67
University of Wyoming,17,16,1,94.12,5.88
University of the Incarnate Word,22,19,3,86.36,13.64
University of the Pacific,17,16,1,94.12,5.88
Utah State University,16,14,2,87.5,12.5
Utah Valley University,16,15,1,93.75,6.25
Valparaiso University,21,15,6,71.43,28.57
Vanderbilt University,16,14,2,87.5,12.5
Villanova University,24,17,7,70.83,29.17
Virginia Commonwealth University,17,12,5,70.59,29.41
Virginia Military Institute,17,17,0,100.0,0.0
Virginia Polytechnic Institute and State University,22,19,3,86.36,13.64
Wagner College,22,19,3,86.36,13.64
Wake Forest University,18,14,4,77.78,22.22
Washington State University,17,12,5,70.59,29.41
Weber State University,16,11,5,68.75,31.25
West Virginia University,18,16,2,88.89,11.11
Western Carolina University,16,13,3,81.25,18.75
Western Illinois University,18,10,8,55.56,44.44
Western Kentucky University,16,15,1,93.75,6.25
Western Michigan University,16,9,7,56.25,43.75
Wichita State University,15,13,2,86.67,13.33
William & Mary,23,18,5,78.26,21.74
Winthrop University,18,13,5,72.22,27.78
Wofford College,19,14,5,73.68,26.32
Wright State University,14,11,3,78.57,21.43
Xavier University,18,15,3,83.33,16.67
Yale University,29,20,9,68.97,31.03
Youngstown State University,19,18,1,94.74,5.26
